Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
1469947.40625,-0.7948749511718749,0.4213794921874996,0.4070142822265625,-72.0,22.25,42.25,178.25,-324.75,-108.25
1469948.4015,-0.49799394531249996,-0.41180268554687416,0.2920926025390625,60.0,51.5,-31.5,168.5,-328.0,-103.5
1469949.40275,-1.2114660400390624,-0.033518823242188134,-0.047884033203124995,15.0,-45.5,2.25,169.25,-315.25,-124.75
1469950.341,-0.8283937744140625,-0.6751648681640621,0.411802685546875,-17.75,51.5,2.75,159.25,-324.25,-98.75
1469951.4035,-0.3112462158203125,-0.14365209960937442,-0.258573779296875,-19.75,11.25,5.0,156.0,-317.5,-100.0
1469952.40425,-0.8858546142578124,0.0718260498046881,0.9241618408203125,-106.75,-27.0,-14.75,162.75,-330.75,-159.25
1469953.40625,-0.7900865478515624,0.5315127685546877,-0.43574470214843747,25.5,45.25,11.25,142.75,-327.75,-130.75
1469954.4025,-0.488417138671875,0.5506663818359367,-0.22026655273437498,11.75,1.5,12.75,144.75,-322.25,-128.25
1469955.3434000001,-1.0295067138671874,-0.32082302246093697,0.47884033203125,-62.75,-1.25,-23.5,140.5,-328.5,-149.5
1469956.408,-1.20667763671875,-0.009576806640625435,-0.316034619140625,59.75,-27.25,8.25,144.5,-321.5,-160.0
1469957.40675,-0.55545478515625,0.14365209960937442,0.1484405029296875,-121.0,-61.0,-24.5,155.25,-321.75,-149.25
1469958.403,-0.6607996582031249,-0.33997663574218784,1.1635820068359375,18.75,-71.5,43.0,176.75,-329.25,-168.75
1469959.40525,-0.6177040283203125,0.15322890624999985,1.5466542724609373,-33.75,-44.5,-23.0,180.0,-339.5,-177.5
1469960.3424000002,-1.1875240234375,-0.8954314208984382,1.6998831787109374,56.75,-23.75,-13.75,191.0,-339.0,-153.0
1469961.407,-1.3072341064453123,-0.16759411621093712,1.85790048828125,-70.5,-32.0,8.0,200.25,-332.25,-159.25
1469962.4045,-0.4836287353515625,0.6081272216796876,0.45489831542968745,-41.25,-62.25,15.0,198.5,-332.5,-149.0
1469963.4035,-1.0103531005859374,-0.07661445312499993,-0.8475473876953125,78.25,-36.0,-49.75,201.75,-316.25,-117.25
1469964.40625,-0.0526724365234375,-0.4740519287109368,0.8810662109374999,-44.0,-1.5,35.25,229.75,-319.75,-97.25
1469965.347,-1.1444283935546875,-0.11492167968749989,0.74699091796875,-116.0,-24.25,-7.75,211.5,-326.0,-121.0
1469966.40275,-0.8762778076171874,-0.35913024902343693,1.6903063720703124,-45.0,55.25,10.5,202.5,-347.5,-143.5
