Timestamp,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
1541791072.0,-0.2825157958984375,-0.01915361328125087,2.31758720703125,-21.5,23.0,2.5,-39.5,-171.0,186.0
1541791073.0,0.26815058593749996,-0.282515795898437,1.5658078857421873,7.0,15.25,16.5,-42.25,-165.25,195.25
1541791074.0,-0.2154781494140625,-0.05746083984375083,1.7190367919921874,52.0,35.25,-2.0,-43.75,-171.75,189.75
1541791075.0,-0.033518823242187495,0.05267243652343723,2.27927998046875,10.25,39.5,52.5,-42.75,-169.75,184.75
1541791076.0,-0.19153613281249998,1.3646949462890632,1.3024457031249999,-63.25,-45.75,103.0,-92.0,-158.0,209.5
1541791077.0,1.388636962890625,0.22026655273437434,2.0925322509765625,72.25,142.75,-112.25,-12.25,-162.25,184.75
1541791078.0,-0.1771709228515625,-0.12928688964843715,1.867477294921875,7.25,50.75,28.0,-48.5,-162.5,201.0
1541791079.0,0.0047884033203125,-0.46447512207031316,1.6615759521484375,42.75,27.0,-15.25,-53.75,-166.25,193.25
1541791080.0,-0.4261678955078125,-0.12449848632812532,1.455674609375,-36.0,21.75,9.25,-52.0,-163.0,203.5
1541791081.0,-0.74699091796875,-0.26815058593749974,1.0678139404296874,36.0,37.0,-11.75,-53.25,-160.75,207.75
1541791082.0,-0.842758984375,0.5554547851562504,1.2737152832031249,61.5,24.25,103.75,-96.25,-167.75,191.25
1541791083.0,0.16280571289062498,-2.006340991210937,3.2034418212890623,-164.25,50.25,-58.0,-49.75,-168.75,182.25
1541791084.0,-1.7286135986328124,-0.1628057128906253,3.8690298828125,43.5,108.0,35.0,-67.25,-182.75,101.25
1541791085.0,-1.1109095703125,0.5027823486328131,2.001552587890625,102.25,-25.0,-7.25,-80.0,-167.0,185.5
1541791086.0,-0.6368576416015624,-0.2537853759765625,1.6136919189453125,-32.5,31.25,18.25,-69.25,-163.25,198.75
1541791087.0,-1.1013327636718748,-0.31603461914062514,1.656787548828125,40.5,-12.75,6.5,-62.75,-163.25,203.25
1541791088.0,0.32082302246093747,-0.27293898925781335,1.7190367919921874,-31.25,-23.5,26.75,-63.0,-165.0,202.0
1541791089.0,-0.8762778076171874,1.0582371337890617,2.6431986328124997,50.25,-32.75,-88.25,-66.5,-174.5,159.0
1541791090.0,-0.1867477294921875,-0.3064578124999997,0.507570751953125,-18.75,119.5,17.5,-43.75,-161.75,201.75
1541791091.0,0.181959326171875,-0.028730419921874528,1.9297265380859374,-28.25,1.25,23.25,-58.25,-164.25,202.75
1541791092.0,-0.814028564453125,-0.2537853759765625,1.446097802734375,14.5,-14.5,-14.25,-61.75,-166.75,195.75
1541791093.0,-0.8188169677734375,0.10055646972656263,1.426944189453125,29.75,64.5,21.75,-58.75,-168.25,202.75
1541791094.0,-1.0582371337890624,-0.3256114257812506,1.465251416015625,2.5,19.75,-2.25,-63.0,-163.0,205.5
1541791095.0,-0.6560112548828124,-0.32082302246093697,1.7238251953125,1.5,21.25,22.5,-66.0,-166.0,198.5
1541791096.0,-0.40222587890625,-0.31603461914062514,1.8339584716796873,30.0,25.5,23.25,-66.5,-168.0,198.0
1541791097.0,-0.565031591796875,0.6272808349609367,2.346317626953125,-99.75,-21.25,68.0,-101.5,-171.0,178.5
1541791098.0,-1.216254443359375,-1.8483236816406245,1.5418658691406248,30.25,172.25,-37.75,-71.5,-169.5,179.0
1541791099.0,-0.2537853759765625,0.21547814941406251,2.0446482177734375,26.0,70.75,-20.75,-116.25,-165.25,188.75
1541791100.0,-0.5363011718749999,-0.11013327636718806,1.43652099609375,38.25,-104.0,-16.5,-66.75,-164.75,205.75
1541791101.0,0.0383072265625,0.044691764322918104,1.5067509114583333,-25.0,-101.33333333333333,19.666666666666668,-53.0,-163.66666666666666,206.33333333333334
1541791102.0,-1.15304751953125,-0.291134921874999,1.36756798828125,52.4,59.0,5.0,-43.6,-161.6,200.4
1541791103.0,-0.9129888997395832,-0.15322890624999985,1.3279838541666664,-8.0,16.0,-8.333333333333334,-52.0,-159.33333333333334,208.0
1541791104.0,0.6272808349609375,-1.1396399902343752,1.5131354492187499,-84.0,87.0,83.25,-75.5,-158.5,213.0
1541791105.0,-1.4413093994140624,-1.6232687255859375,3.2609026611328122,-77.5,79.75,-91.25,-108.75,-173.25,154.25
1541791106.0,-0.19153613281249998,-0.18674772949218799,3.265691064453125,83.25,35.25,21.25,-88.0,-178.5,158.5
1541791107.0,-0.430956298828125,-0.13407529296875076,1.6472107421875,-0.25,-91.0,11.75,-84.5,-170.0,196.0
1541791108.0,-0.7422025146484375,-0.8667010009765619,2.7150246826171873,58.25,-63.0,7.75,-64.75,-182.75,168.75
1541791109.0,-0.19153613281249998,0.05746083984375083,0.49320554199218747,97.5,24.25,21.25,-51.75,-154.75,214.75
1541791110.0,-0.38307226562499996,-0.36391865234375054,1.656787548828125,-73.0,-28.75,-0.75,-46.0,-161.5,200.0
1541791111.0,-0.4070142822265625,-0.3303998291015624,2.001552587890625,-8.75,51.0,18.25,-47.75,-169.25,184.75
1541791112.0,-0.2442085693359375,0.2633621826171879,0.9959878906249999,24.25,-11.75,37.75,-63.5,-164.5,200.5
1541791113.0,-0.2346317626953125,-0.7182604980468756,2.365471240234375,-24.5,47.25,-40.25,-36.75,-167.75,181.75
1541791114.0,0.05746083984375,0.34476503906249967,1.7381904052734374,43.75,-7.0,88.0,-55.0,-169.0,189.5
1541791115.0,0.1292868896484375,-0.6272808349609367,1.3934253662109375,-23.25,6.25,-60.0,-43.25,-164.75,195.25
1541791116.0,-0.3447650390625,-0.282515795898437,1.4796166259765624,43.75,51.25,-0.25,-45.0,-165.0,190.5
1541791117.0,-0.32561142578124996,-0.3303998291015624,1.8195932617187498,30.25,8.5,18.5,-44.5,-166.0,193.5
1541791118.0,-0.277727392578125,-0.11971008300781172,1.6328455322265625,-45.75,51.25,10.0,-52.0,-163.5,192.0
1541791119.0,-0.4165910888671875,0.009576806640625435,1.446097802734375,13.5,60.0,10.75,-59.25,-161.25,200.75
1541791120.0,-0.5985504150390625,-0.22026655273437434,2.27927998046875,47.0,35.0,25.25,-68.5,-172.5,194.0
1541791121.0,-0.24899697265624998,-0.5746083984374994,1.6711527587890624,-45.75,61.25,-3.25,-75.25,-166.25,193.75
1541791122.0,0.70868369140625,-0.06224924316406266,0.565031591796875,51.0,16.75,232.75,-127.0,-155.0,209.5
1541791123.0,1.8770541015625,-0.9911994873046872,0.8954314208984374,57.25,-14.75,-244.25,-96.75,-147.75,221.75
1541791124.0,-0.689530078125,0.1628057128906253,0.5793968017578125,48.0,-83.5,14.25,-35.0,-149.0,222.5
1541791125.0,-0.24899697265624998,-0.11013327636718806,0.55545478515625,-48.5,49.5,31.25,-24.5,-149.0,220.0
1541791126.0,-0.32082302246093747,-0.19153613281249982,1.3024457031249999,-11.0,16.5,6.5,-44.25,-162.75,198.25
1541791127.0,-0.2442085693359375,-0.21547814941406251,2.3415292236328122,0.25,13.25,-12.75,-38.75,-163.25,193.25
1541791128.0,-0.7709329345703124,-0.45968671874999956,1.944091748046875,18.0,52.25,3.25,-40.25,-162.75,188.25
1541791129.0,-0.4213794921875,-0.18674772949218799,1.675941162109375,-56.75,5.25,-4.75,-40.0,-165.0,195.0
1541791130.0,-1.5466542724609373,-0.24420856933593704,1.465251416015625,114.75,21.75,128.75,-55.25,-157.75,203.75
1541791131.0,-1.2497732666015624,-1.6041151123046866,2.1978771240234374,-111.0,54.0,-182.0,-53.0,-145.0,209.0
1541791132.0,-0.8188169677734375,0.2585737792968743,2.6575638427734374,-32.75,29.0,101.25,-37.25,-169.25,181.75
1541791133.0,-0.7996633544921875,0.29209260253906244,0.55545478515625,107.75,-3.25,29.25,-67.5,-157.0,218.5
1541791134.0,-0.26815058593749996,-0.6751648681640621,1.3407529296874998,-103.25,35.75,-30.75,-55.25,-165.75,195.25
1541791135.0,-0.16759411621093748,-0.03830722656249996,0.8475473876953125,11.25,15.5,15.25,-53.0,-154.5,213.0
1541791136.0,-0.842758984375,-0.0478840332031254,1.944091748046875,50.25,45.75,32.5,-61.75,-173.75,184.25
1541791137.0,-0.6512228515624999,-0.2394201660156252,1.618480322265625,-96.0,-15.25,10.5,-61.75,-164.75,199.25
1541791138.0,-0.8092401611328125,-0.29209260253906244,3.4572271972656248,55.0,86.0,-28.25,-83.0,-180.0,141.5
1541791139.0,-0.5267243652343749,-0.7278373046874993,1.5131354492187499,35.75,-26.75,38.5,-48.5,-159.0,206.5
1541791140.0,-0.7661445312499999,0.10534487304687445,2.370259643554687,-16.5,8.75,33.25,-63.75,-166.75,192.25
1541791141.0,-0.9816226806640624,-0.8906430175781246,3.0502129150390624,10.5,30.0,-28.75,-52.25,-180.75,153.75
1541791142.0,-0.8188169677734375,0.014365209960937264,1.838746875,51.25,22.75,36.0,-63.25,-169.75,193.75
1541791143.0,-0.4277640299479166,-0.8363744466145828,1.66636435546875,53.333333333333336,9.666666666666666,-19.333333333333332,-55.666666666666664,-161.66666666666666,199.66666666666666
1541791144.0,-1.1109095703125,-0.16759411621093712,0.679953271484375,-0.75,-5.0,-10.5,-49.75,-154.75,217.75
1541791145.0,-0.8762778076171874,-0.03830722656249996,2.212242333984375,-74.5,28.75,27.75,-43.75,-167.25,188.75
1541791146.0,-0.6464344482421874,-0.44053310546875046,3.1268273681640624,50.0,43.75,46.75,-65.5,-182.0,156.0
1541791147.0,-1.0965443603515623,-0.38786066894531324,0.258573779296875,-2.0,-27.0,-6.75,-66.5,-151.5,227.5
1541791148.0,-3.1028853515624997,0.24899697265625065,1.8435352783203125,81.25,31.5,-6.5,-49.75,-167.25,193.75
1541791149.0,-0.852335791015625,-0.6320692382812503,1.7717092285156248,-35.25,-15.5,-9.75,-41.5,-168.5,189.5
