Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
769.131,-1.34458365234375,-0.5975927343750005,-1.40587521484375,-57.0,-212.2,46.6,240.6,365.0,298.2
770.16575,-2.887407202148437,-0.03830722656249996,0.7517793212890624,-47.75,53.5,33.0,260.25,353.75,351.75
771.0906,1.608903515625,0.11875240234375006,0.413718046875,-31.8,249.6,258.8,312.2,305.4,395.0
772.086,3.0071172851562498,-0.6272808349609367,0.5219359619140624,32.0,109.75,-131.25,262.5,299.5,441.5
773.1306,0.8657433203125,-0.9270348828124995,2.5704149023437495,-24.0,59.0,22.4,228.2,267.0,479.8
774.12825,0.9528922607421875,0.2537853759765625,1.695094775390625,-29.75,76.0,41.5,219.5,294.5,460.0
775.0704000000001,1.1722011328125,0.14939818359374968,1.7774553124999999,35.8,167.4,-69.6,157.4,297.4,464.6
776.1655,1.3311761230468748,-1.6807295654296865,2.3367408203125,6.0,140.25,-11.75,82.5,298.5,446.5
777.2106,-0.7996633544921875,-1.0582371337890617,1.7381904052734374,-65.0,139.5,-20.75,55.5,291.5,433.5
778.1155,1.62805712890625,1.388636962890624,1.2976572998046874,-244.5,139.25,275.0,-11.75,238.25,410.75
779.1155,2.9735984619140625,0.7996633544921874,0.26336218261718747,-14.25,156.75,95.25,2.75,304.75,376.75
780.11525,-2.1021090576171875,0.3543418457031251,-1.350329736328125,267.0,-171.25,95.25,61.5,352.0,233.5
781.0905,-1.120486376953125,4.395754248046874,3.1699229980468746,-231.25,-174.25,269.0,26.0,282.0,406.5
782.02825,0.5219359619140624,1.7142483886718747,-0.3447650390625,281.25,-12.5,124.0,98.0,341.0,369.0
783.0052,-0.6177040283203125,2.85388837890625,1.7381904052734374,-91.25,-665.75,493.25,281.0,315.5,239.5
784.016,-1.4413093994140624,-4.510675927734375,-11.554417211914062,-300.75,871.75,-300.5,299.5,278.5,301.0
785.01575,-1.3072341064453123,-1.2449848632812497,0.316034619140625,-134.75,-21.25,94.5,66.0,317.0,405.0
786.0706,-1.241154140625,0.12258312500000024,0.42521021484374993,32.2,-21.8,10.8,133.0,325.8,433.4
787.10575,0.3016694091796875,0.17717092285156255,1.5945383056640625,-25.75,101.5,10.5,105.75,319.75,428.75
788.0281666666666,0.076614453125,0.03447650390624979,0.720175859375,2.4,-52.0,-27.8,105.4,313.8,437.8
789.00325,-0.3399766357421875,0.7948749511718756,1.005564697265625,-39.0,-460.5,-119.25,177.5,302.0,459.0
790.0606,0.21835119140625,-0.4060566015624989,1.0419565625,90.0,-550.6,-87.0,302.0,328.4,292.0
791.1404,-0.06512228515625,-0.16472107421875037,-0.0689530078125,-52.2,-112.6,-11.8,265.8,346.2,162.2
792.053,-0.26336218261718747,0.0718260498046881,0.44053310546874996,42.75,-3.25,14.0,236.5,346.5,138.5
792.995,-0.14173673828125,0.5592855078125005,1.1607089648437499,-98.0,-5.0,19.8,244.8,350.8,148.8
794.06575,3.758896606445312,-9.212887988281249,3.394977954101562,164.25,-133.0,-168.25,272.5,353.5,263.5
795.04075,-0.16280571289062498,-1.1204863769531244,0.948103857421875,-22.0,12.25,-245.0,233.0,353.5,152.5
796.061,0.93086560546875,0.2566584179687492,0.9576806640625,80.8,57.2,47.0,170.2,360.2,150.2
797.07825,0.28730419921875,0.469263525390625,-0.4070142822265625,-59.5,29.0,39.0,210.25,329.25,96.25
798.0484,-1.1061211669921875,-0.27293898925781335,-0.7134720947265625,6.5,38.5,14.75,217.75,332.75,103.75
799.0011999999999,-0.3754108203125,-0.01915361328125087,0.4520252734375,-64.4,50.8,15.4,202.4,342.0,112.8
800.11575,0.4740519287109375,-0.45968671874999956,3.394977954101562,110.5,-44.0,-15.5,192.5,365.5,179.5
801.0775,0.105344873046875,0.18674772949218799,-2.6958710693359373,236.5,-67.25,7.75,174.75,299.25,54.25
802.0655,-0.9624690673828125,0.8188169677734383,-3.6152445068359373,-220.25,123.0,138.0,182.5,303.0,61.5
