Time,Temperature 1,Calibrated Temperature 1,Temperature 1 Stable,Temperature 2,Calibrated Temperature 2,Temperature 2 Stable
1469947440.0,279.0,17.204,0.0,4364.0,17.143,0.0
1469953460.0,279.0,17.204,0.0,4352.0,17.096,0.0
1469959480.0,278.0,17.14,0.0,4349.0,17.084,0.0
1469965500.0,278.0,17.14,0.0,4353.0,17.1,0.0
1469971519.0,278.0,17.14,0.0,4361.0,17.131,0.0
1469977540.0,278.0,17.14,0.0,4361.0,17.131,0.0
1469983560.0,278.0,17.14,0.0,4367.0,17.155,0.0
1469989580.0,278.0,17.14,0.0,4381.0,17.21,0.0
1469995600.0,278.0,17.14,0.0,4377.0,17.194000000000003,0.0
1470001620.0,278.0,17.14,0.0,4362.0,17.135,0.0
1470007641.0,278.0,17.14,0.0,4375.0,17.186,0.0
1470013661.0,278.0,17.14,0.0,4374.0,17.182000000000002,0.0
1470019681.0,278.0,17.14,0.0,4375.0,17.186,0.0
1470025700.0,278.0,17.14,0.0,4373.0,17.178,0.0
1470031720.0,278.0,17.14,0.0,4383.0,17.217,0.0
1470037740.0,278.0,17.14,0.0,4383.0,17.217,0.0
1470043761.0,279.0,17.204,0.0,4382.0,17.213,0.0
1470049782.0,278.0,17.14,0.0,4380.0,17.206,0.0
1470055803.0,278.0,17.14,0.0,4383.0,17.217,0.0
1470061824.0,278.0,17.14,0.0,4380.0,17.206,0.0
1470067845.0,279.0,17.204,0.0,4371.0,17.17,0.0
1470073865.0,278.0,17.14,0.0,4372.0,17.174,0.0
1470079884.0,279.0,17.204,1.0,4377.0,17.194000000000003,1.0
1470085903.0,279.0,17.204,1.0,4372.0,17.174,1.0
1470091923.0,278.0,17.14,1.0,4374.0,17.182000000000002,1.0
1470097943.0,278.0,17.14,1.0,4363.0,17.139,1.0
1470103963.0,278.0,17.14,1.0,4365.0,17.147000000000002,1.0
1470109983.0,278.0,17.14,1.0,4371.0,17.17,1.0
1470116002.0,278.0,17.14,1.0,4369.0,17.163,1.0
1470122022.0,278.0,17.14,1.0,4373.0,17.178,1.0
1470128041.0,278.0,17.14,1.0,4366.0,17.151,1.0
1470134061.0,278.0,17.14,1.0,4363.0,17.139,1.0
1470140081.0,277.0,17.077,1.0,4364.0,17.143,1.0
1470146101.0,278.0,17.14,1.0,4370.0,17.166,1.0
1470152121.0,278.0,17.14,1.0,4362.0,17.135,1.0
1470158140.0,278.0,17.14,1.0,4375.0,17.186,1.0
1470164161.0,277.0,17.077,1.0,4373.0,17.178,1.0
1470170182.0,278.0,17.14,1.0,4370.0,17.166,1.0
1470176202.0,277.0,17.077,1.0,4379.0,17.202,1.0
1470182221.0,278.0,17.14,0.0,4392.0,17.253,0.0
1470188241.0,278.0,17.14,0.0,4395.0,17.264,0.0
1470194261.0,278.0,17.14,0.0,4401.0,17.288,0.0
1470200281.0,279.0,17.204,0.0,4383.0,17.217,0.0
1470206301.0,279.0,17.204,1.0,4364.0,17.143,1.0
1470212320.0,278.0,17.14,1.0,4363.0,17.139,1.0
1470218340.0,278.0,17.14,1.0,4371.0,17.17,1.0
1470224360.0,278.0,17.14,1.0,4369.0,17.163,1.0
1470230381.0,278.0,17.14,0.0,4367.0,17.155,0.0
1470236401.0,278.0,17.14,0.0,4360.0,17.127,0.0
1470242421.0,278.0,17.14,0.0,4368.0,17.159000000000002,0.0
1470248440.0,278.0,17.14,0.0,4374.0,17.182000000000002,0.0
1470254461.0,278.0,17.14,1.0,4374.0,17.182000000000002,1.0
1470260480.0,278.0,17.14,1.0,4383.0,17.217,1.0
1470266500.0,278.0,17.14,1.0,4375.0,17.186,1.0
1470272521.0,278.0,17.14,1.0,4374.0,17.182000000000002,1.0
1470278540.0,278.0,17.14,1.0,4374.0,17.182000000000002,1.0
1470284559.0,278.0,17.14,1.0,4373.0,17.178,1.0
1470290578.0,278.0,17.14,1.0,4379.0,17.202,1.0
1470296599.0,278.0,17.14,1.0,4386.0,17.229,1.0
1470302619.0,279.0,17.204,1.0,4384.0,17.221,1.0
1470308639.0,278.0,17.14,1.0,4391.0,17.249000000000002,1.0
1470314658.0,279.0,17.204,1.0,4394.0,17.26,1.0
1470320678.0,279.0,17.204,0.0,4404.0,17.3,0.0
1470326698.0,279.0,17.204,0.0,4401.0,17.288,0.0
1470332719.0,279.0,17.204,0.0,4409.0,17.319000000000003,0.0
1470338740.0,279.0,17.204,0.0,4404.0,17.3,0.0
1470344760.0,280.0,17.267,0.0,4402.0,17.292,0.0
1470350780.0,280.0,17.267,0.0,4401.0,17.288,0.0
1470356800.0,280.0,17.267,0.0,4396.0,17.268,0.0
1470362820.0,280.0,17.267,0.0,4411.0,17.327,0.0
1470368840.0,280.0,17.267,1.0,4405.0,17.303,1.0
1470374860.0,280.0,17.267,1.0,4402.0,17.292,1.0
1470380881.0,280.0,17.267,1.0,4399.0,17.28,1.0
1470386901.0,280.0,17.267,1.0,4411.0,17.327,1.0
1470392921.0,280.0,17.267,1.0,4412.0,17.331,1.0
1470398941.0,280.0,17.267,1.0,4414.0,17.339000000000002,1.0
1470404961.0,280.0,17.267,0.0,4424.0,17.378,0.0
1470410982.0,281.0,17.33,0.0,4429.0,17.397000000000002,0.0
1470417002.0,281.0,17.33,0.0,4427.0,17.39,0.0
1470423022.0,281.0,17.33,0.0,4418.0,17.354,0.0
1470429043.0,281.0,17.33,0.0,4435.0,17.421,0.0
1470435062.0,281.0,17.33,0.0,4434.0,17.417,0.0
1470441084.0,281.0,17.33,0.0,4435.0,17.421,0.0
1470447105.0,281.0,17.33,0.0,4431.0,17.405,0.0
1470453125.0,281.0,17.33,1.0,4430.0,17.401,1.0
1470459145.0,281.0,17.33,1.0,4425.0,17.382,1.0
1470465165.0,281.0,17.33,1.0,4417.0,17.35,1.0
1470471185.0,281.0,17.33,1.0,4407.0,17.311,1.0
1470477206.0,281.0,17.33,0.0,4401.0,17.288,0.0
1470483227.0,280.0,17.267,0.0,4391.0,17.249000000000002,0.0
1470489248.0,280.0,17.267,0.0,4388.0,17.237000000000002,0.0
1470495268.0,280.0,17.267,0.0,4389.0,17.241,0.0
1470501288.0,280.0,17.267,0.0,4400.0,17.284000000000002,0.0
1470507309.0,280.0,17.267,0.0,4394.0,17.26,0.0
1470513329.0,280.0,17.267,0.0,4395.0,17.264,0.0
1470519349.0,279.0,17.204,1.0,4407.0,17.311,1.0
1470525368.0,280.0,17.267,1.0,4409.0,17.319000000000003,1.0
1470531389.0,280.0,17.267,1.0,4410.0,17.323,1.0
1470537410.0,280.0,17.267,0.0,4401.0,17.288,0.0
1470543430.0,280.0,17.267,1.0,4399.0,17.28,1.0
1470549450.0,280.0,17.267,1.0,4387.0,17.233,1.0
1470555470.0,279.0,17.204,1.0,4390.0,17.245,1.0
1470561489.0,279.0,17.204,1.0,4400.0,17.284000000000002,1.0
1470567508.0,280.0,17.267,1.0,4397.0,17.272000000000002,1.0
1470573527.0,280.0,17.267,1.0,4398.0,17.276,1.0
1470579547.0,280.0,17.267,1.0,4407.0,17.311,1.0
1470585568.0,280.0,17.267,1.0,4396.0,17.268,1.0
1470591587.0,280.0,17.267,1.0,4384.0,17.221,1.0
1470597607.0,280.0,17.267,1.0,4385.0,17.225,1.0
1470603628.0,280.0,17.267,1.0,4397.0,17.272000000000002,1.0
1470609649.0,280.0,17.267,1.0,4410.0,17.323,1.0
1470615669.0,280.0,17.267,1.0,4403.0,17.296,1.0
1470621689.0,280.0,17.267,1.0,4406.0,17.307000000000002,1.0
1470627709.0,281.0,17.33,1.0,4419.0,17.358,1.0
1470633729.0,281.0,17.33,0.0,4409.0,17.319000000000003,0.0
1470639750.0,280.0,17.267,0.0,4400.0,17.284000000000002,0.0
1470645770.0,280.0,17.267,1.0,4400.0,17.284000000000002,1.0
1470651790.0,280.0,17.267,1.0,4400.0,17.284000000000002,1.0
1470657812.0,280.0,17.267,1.0,4401.0,17.288,1.0
1470663832.0,281.0,17.33,1.0,4407.0,17.311,1.0
1470669853.0,281.0,17.33,1.0,4411.0,17.327,1.0
1470675872.0,281.0,17.33,1.0,4412.0,17.331,1.0
1470681891.0,281.0,17.33,1.0,4425.0,17.382,1.0
1470687911.0,281.0,17.33,0.0,4438.0,17.433,0.0
1470693930.0,282.0,17.394000000000002,0.0,4444.0,17.456,0.0
1470699950.0,282.0,17.394000000000002,0.0,4452.0,17.487000000000002,0.0
1470705970.0,282.0,17.394000000000002,0.0,4451.0,17.484,0.0
1470711990.0,282.0,17.394000000000002,0.0,4460.0,17.519000000000002,0.0
1470718011.0,283.0,17.457,0.0,4452.0,17.487000000000002,0.0
